classifier,model,accuracy,recall,precision,f1,,,,,classifier,model,accuracy,recall,precision,f1
naive-bayes,bag-of-words,0.8125,0.825395894,0.821963895,0.815725599,,,,,naive-bayes,bag-of-words,0.8125,0.825395894,0.821963895,0.815725599
naive-bayes,tfidf,0.8125,0.808550016,0.817041878,0.811977709,,,,,svm,bag-of-words,0.739583333,0.733398501,0.737862271,0.73395341
svm,bag-of-words,0.739583333,0.733398501,0.737862271,0.73395341,,,,,decision-tree,bag-of-words,0.744791667,0.743499511,0.745929339,0.744536954
svm,tfidf,0.8046875,0.795760834,0.818210152,0.802742024,,,,,k-nearest-neighbors-100,bag-of-words,0.75,0.721094819,0.813831076,0.727955445
decision-tree,bag-of-words,0.744791667,0.743499511,0.745929339,0.744536954,,,,,k-nearest-neighbors-50,bag-of-words,0.791666667,0.771130661,0.831322527,0.780053003
decision-tree,tfidf,0.721354167,0.715513196,0.723589964,0.718222267,,,,,classifier,model,accuracy,recall,precision,f1
k-nearest-neighbors-100,bag-of-words,0.75,0.721094819,0.813831076,0.727955445,,,,,naive-bayes,tfidf,0.8125,0.808550016,0.817041878,0.811977709
k-nearest-neighbors-100,tfidf,0.8046875,0.788735745,0.825762464,0.79369174,,,,,svm,tfidf,0.8046875,0.795760834,0.818210152,0.802742024
k-nearest-neighbors-1000,bag-of-words,0.505208333,0.48829912,0.728214189,0.398046123,,,,,decision-tree,tfidf,0.721354167,0.715513196,0.723589964,0.718222267
k-nearest-neighbors-50,bag-of-words,0.791666667,0.771130661,0.831322527,0.780053003,,,,,k-nearest-neighbors-100,tfidf,0.8046875,0.788735745,0.825762464,0.79369174
k-nearest-neighbors-50,tfidf,0.799479167,0.784167481,0.821996997,0.790541976,,,,,k-nearest-neighbors-50,tfidf,0.799479167,0.784167481,0.821996997,0.790541976
naive-bayes,bag-of-words,0.8125,0.825395894,0.821963895,0.815725599,,,,,,,,,,
naive-bayes,tfidf,0.8125,0.808550016,0.817041878,0.811977709,,,,,,,,,,
