#TOPIC,LINK
Technology, https://www.newscientist.com/subject/technology
Technology, https://www.theverge.com/tech
Technology, https://www.cnet.com/tech
Technology, https://www.bbc.com/news/technology
Technology, https://scitechdaily.com/news/technology
Entertainment, https://www.cnn.com/entertainment
Entertainment, https://www.usatoday.com/entertainment
Entertainment, https://ew.com
Entertainment, https://www.cbsnews.com/entertainment
Entertainment, https://www.eonline.com/ca
Lifestyle, https://www.forbes.com/lifestyle
Lifestyle, https://www.buzzfeed.com/life
Lifestyle, https://www.glamour.com/home
Lifestyle, https://time.com/tag/lifestyle
